bin_range,pdb_counts,pdbs
71-75,1,1QZB_1_B
86-90,3,1E8S_1_C;4KZY_1_i;7DA7_1_C
101-105,1,3JCR_1_M
106-110,1,4V47_1_A9
141-145,1,6XU8_1_B2
161-165,1,4V6W_1_B2
166-170,1,6SGB_1_CA
196-200,1,3J6X_1_IR
221-225,1,4V6I_1_CA
241-245,1,4V3P_1_S1
301-305,1,1FKA_1_A
1486-1490,1,4V48_1_BA
1556-1560,1,6EM4_1_1
1561-1565,1,6G4W_1_2
1611-1615,1,6G4S_1_2
1656-1660,1,6G51_1_2
2436-2440,1,6EM5_1_1
2536-2540,1,4V48_1_A0
