,length,gc_content,n_residues,nan_count,n_residues_with_nan
count,2317.0,2317.0,2317.0,2317.0,2317.0
mean,573.5084160552439,51.61557364111418,573.5084160552439,52.20025895554596,6.9879154078549846
std,915.5747770209034,16.172206459036968,915.5747770209034,1131.429654305746,104.01381530571913
min,1.0,0.0,1.0,0.0,0.0
25%,26.0,44.9438202247191,26.0,0.0,0.0
50%,76.0,53.78026070763501,76.0,0.0,0.0
75%,969.0,61.53846153846154,969.0,0.0,0.0
max,4417.0,100.0,4417.0,45630.0,2535.0
